filename,cik,year,registrant_name_truth,original_Inc_state_truth,original_Inc_year_truth,employee_count_truth,headquarters_city_truth,headquarters_state_truth,holder_record_amount_truth
92116_1993.txt,92116,1993,Southern California Water Company,California,1929,486,San Dimas,California,4342
103730_1993.txt,103730,1993,"Vishay Intertechnology, Inc",Delaware,1962,14200,Malvern,Pennsylvania ,1441
100240_1993.txt,100240,1993,"Turner Broadcasting System, Inc",Georgia,1965,5317,Atlanta,Georgia,NULL
58696_1993.txt,58696,1993,Lennar Corporation,NULL,NULL,1660,Miami,Florida,NULL
46207_1993.txt,46207,1993,HEI,Hawaii,1981,NULL,NULL,NULL,24672
60041_1993.txt,60041,1993,Loctite Corporation,Connecticut,1953,4000,NULL,NULL,3116
55387_1993.txt,55387,1993,Kentucky Utilities Company,NULL,NULL,2260,NULL,NULL,1
40878_1993.txt,40878,1993,GTE South Incorporated,Virginia,1947,4729,NULL,NULL,NULL
53540_1993.txt,53540,1993,NULL,NULL,NULL,NULL,NULL,NULL,785
800287_1993.txt,800287,1993,"Chemical Waste Management, Inc",Delaware,1978,4400,Oak Brook,Illinois,5107
50178_1993.txt,50178,1993,"Indiana Bell Telephone Company, Incorporated",Indiana,NULL,5077,Indianapolis,Indiana,NULL
725625_1993.txt,725625,1993,"Cornerstone Natural Gas, Inc",Texas,1977,129,Dallas,Texas,575
66479_1993.txt,66479,1993,Millipore Corporation,Massachusetts,1954,3664,Bedford,Massachusetts,NULL
700674_1993.txt,700674,1993,Air Express International Corporation,Delaware,NULL,4271,Darien,Connecticut,1033
854094_1993.txt,854094,1993,"Central Newspapers, Inc",Indiana,1934,5000,Indianapolis,Indiana,NULL
846972_1993.txt,846972,1993,"Adience, Inc",Delaware,1985,NULL,Pittsburgh,Pennsylvania ,152
59478_1993.txt,59478,1993,Eli Lilly and Company,Indiana,1901,32700,Indianapolis,NULL,NULL
5550_1993.txt,5550,1993,American Nuclear Corporation,NULL,1955,4,NULL,NULL,1734
743443_1993.txt,743443,1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22767_1993.txt,22767,1993,Texas-New Mexico Power Company,Texas,NULL,1051,NULL,NULL,NULL
738339_1993.txt,738339,1993,"American Healthcare Management, Inc",NULL,NULL,4800,King of Prussia,Pennsylvania ,585
29854_1993.txt,29854,1993,Douglas & Lomason Company,NULL,NULL,5697,Farmington Hills,Michigan,806
97210_1993.txt,97210,1993,"Teradyne, Inc",NULL,NULL,4000,NULL,NULL,3225
7383_1993.txt,7383,1993,Armco Inc,Ohio,1917,6600,Butler,Pennsylvania ,NULL
80661_1993.txt,80661,1993,The Progressive Corporation,NULL,1965,6101,Mayfield,Ohio,4849
711404_1993.txt,711404,1993,"The Cooper Companies, Inc",Delaware,1980,970,NULL,NULL,4550
75042_1993.txt,75042,1993,"Oshkosh B'Gosh, Inc",Delaware,1929,6400,Oshkosh,Wisconsin,NULL
18497_1993.txt,18497,1993,"CenCor, Inc",Delaware,1968,257,NULL,NULL,1197
33565_1993.txt,33565,1993,"Essex Group, Inc",NULL,NULL,3755,Fort Wayne,Indiana,NULL
745287_1993.txt,745287,1993,Intermet Corporation,NULL,NULL,4151,NULL,NULL,881
93469_1993.txt,93469,1993,Pittway Corporation,Delaware,1925,4800,Chicago,Illinois,NULL
354869_1993.txt,354869,1993,First Bancorporation of Ohio,Ohio,1981,2800,Akron,Ohio,6673
36966_1993.txt,36966,1993,First Tennessee National Corporation,Tennessee,1968,5653,Memphis,Tennessee,7893
799036_1993.txt,799036,1993,"Pioneer Financial Services, Inc",Delaware,1982,1900,Schaumburg,Illinois,600
25890_1993.txt,25890,1993,"Crown Cork & Seal Company, Inc",NULL,NULL,21254,NULL,NULL,6163
846902_1993.txt,846902,1993,"Carlisle Plastics, Inc",Delaware,1985,2800,NULL,NULL,8
764764_1993.txt,764764,1993,Caterpillar Financial Services Corporation,NULL,NULL,NULL,Nashville,Tennessee,NULL
717605_1993.txt,717605,1993,Hexcel Corporation,California,1948,2340,Pleasanton,California,2294
92487_1993.txt,92487,1993,Southwestern Electric Power Company,Delaware,NULL,2033,NULL,NULL,NULL
79166_1993.txt,79166,1993,Plenum Publishing Corporation,NULL,NULL,300,NULL,NULL,638
355883_1993.txt,355883,1993,"First United Bancshares, Inc.",NULL,NULL,NULL,NULL,NULL,NULL
865227_1993.txt,865227,1993,The Sears Credit Account Trust 1990 C,NULL,NULL,NULL,NULL,NULL,NULL
101320_1993.txt,101320,1993,UJB Financial Corp,New Jersey,1970,6219,Princeton,New Jersey,20636
64605_1993.txt,64605,1993,"Medical Monitors, Inc",Delaware,1975,1,NULL,NULL,1746
884033_1993.txt,884033,1993,First Boston Mortgage Securities Corp.,NULL,NULL,NULL,NULL,NULL,7
17797_1993.txt,17797,1993,Carolina Power & Light Company,North Carolina,1926,8027,Raleigh,North Carolina,72863
216228_1993.txt,216228,1993,ITT Corporation,Delaware,NULL,98000,New York,New York,60000
791445_1993.txt,791445,1993,Trump Plaza Associates,New Jersey,1986,3800,NULL,NULL,1
719264_1993.txt,719264,1993,"First Citizens Bancshares, Inc",Tennessee,1982,149,NULL,NULL,617
92050_1993.txt,92050,1993,Southeastern Public Service Company,Delaware,1947,624,West Palm Beach,Florida,NULL
788043_1993.txt,788043,1993,NULL,NULL,NULL,NULL,NULL,NULL,1837
29989_1993.txt,29989,1993,Omnicom Group Inc,NULL,NULL,14400,New York,New York,2672
702163_1993.txt,702163,1993,"Citizens First Bancorp, Inc",New Jersey,1920,878,Glen Rock,New Jersey,4311
75252_1993.txt,75252,1993,"Owens & Minor, Inc",Virginia,1926,1674,Richmond,Virginia,NULL
